date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:56	600/600	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202016%2011:44:56%20GMT	https://wp.wp-preview.com/robots.txt		(from )
14:04:56	212529/212529	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2010:55:02%20GMT	https://wp.wp-preview.com/inhype/inhype-1/	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/index.html	(from )
14:04:57	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2025%20Aug%202022%2021:05:09%20GMT	https://wp.wp-preview.com/inhype/inhype-1/xmlrpc.php	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/xmlrpc.php	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:04:58	550727/550727	---M-Z	200	added ('OK')	text/css	etag:%221a598-5e70e6e16e5af%22	https://wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/836d2.css	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/836d2.css	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:04:59	357356/357356	---MC-	200	added ('OK')	application/rss+xml	etag:%22518eaaf4fe68dad96776958d688f5c81%22	https://wp.wp-preview.com/inhype/inhype-1/feed/	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/feed/index.html	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:04:59	1033/1033	---MC-	200	added ('OK')	application/rss+xml	etag:%227f39fa67403c441696822d541213c404%22	https://wp.wp-preview.com/inhype/inhype-1/comments/feed/	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/comments/feed/index.html	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:04:59	145506/145506	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b884-5e70eb8460da8%22	https://wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/79f3d.js	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/79f3d.js	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:04:59	16898/16898	---M-Z	200	added ('OK')	application/x-javascript	etag:%22111f-5e70e6e138e34%22	https://wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/a8f69.js	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/wp-content/cache/minify/a8f69.js	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:05:00	86654/86654	---M-Z	200	added ('OK')	application/json	date:Thu,%2025%20Aug%202022%2021:05:12%20GMT	https://wp.wp-preview.com/inhype/inhype-1/wp-json/	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/wp-json/index.html	(from https://wp.wp-preview.com/inhype/inhype-1/)
14:05:00	912/912	---M-Z	200	added ('OK')	text/xml	date:Thu,%2025%20Aug%202022%2021:05:12%20GMT	https://wp.wp-preview.com/inhype/inhype-1/xmlrpc.php?rsd	C:/My%20Web%20Sites/as/wp.wp-preview.com/inhype/inhype-1/xmlrpc0db0.php	(from https://wp.wp-preview.com/inhype/inhype-1/)
